Sale Date,Add Date,Case Number,Formatted Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio,My Bid
02/17/2021,01/07/2021,2019-026323-CA-01,2019026323CA01,FAUCTION30590407214102019026323CA01,Accepting Proxy,34634.58,0,212658,Century Gardens Villas Homeowners Association Inc.,Century Gardens Villas Homeowners Association Inc.,HIDDEN,9001 SW 152 CT,MIAMI,33196,30-5904-072-1410,3059040721410,
02/17/2021,01/06/2021,2019-017969-CA-01,2019017969CA01,FAUCTION35300800715002019017969CA01,Accepting Proxy,734587.06,0,669266,"GREENLEAF II REO 1, LLC","GREENLEAF II REO 1, LLC",HIDDEN,10123 NW 76 TER,DORAL,33178,35-3008-007-1500,3530080071500,
02/17/2021,01/08/2021,2018-029501-CA-01,2018029501CA01,FAUCTION1410504902102018029501CA01,Accepting Proxy,567070.81,0,132973,DEUTSCHE BANK NATIONAL TRUST COMPANY (TRUSTEE),DEUTSCHE BANK NATIONAL TRUST COMPANY (TRUSTEE),HIDDEN,4277 SW 5 ST,MIAMI,33134,01-4105-049-0210,0141050490210,
02/22/2021,01/08/2021,2013-010414-CA-01,2013010414CA01,FAUCTION35302900202612013010414CA01,Accepting Proxy,,0,0,"U S Bank (na),","U S Bank (na),",HIDDEN,,,,35-3029-002-0261,3530290020261,
02/22/2021,01/08/2021,2013-005570-CA-01,2013005570CA01,FAUCTION2320301101302013005570CA01,Accepting Proxy,362978.96,0,0,SUNTRUST MORT INC,SUNTRUST MORT INC,HIDDEN,,,,02-3203-011-0130,0232030110130,
02/22/2021,01/06/2021,2017-017037-CA-01,2017017037CA01,FAUCTION30223206605502017017037CA01,Accepting Proxy,76961.79,0,108016,"Martinez (Tr), Teresa","Martinez (Tr), Teresa",HIDDEN,1800 NE 114 ST 811,MIAMI,33181,30-2232-066-0550,3022320660550,
02/22/2021,01/06/2021,2019-002849-CA-01,2019002849CA01,FAUCTION35301801001102019002849CA01,Accepting Proxy,100000,0,613268,Vilar Law PA,Vilar Law PA,HIDDEN,11190 NW 67 ST,DORAL,33178,35-3018-010-0110,3530180100110,
02/22/2021,01/07/2021,2019-009286-CA-01,2019009286CA01,FAUCTION6222909307602019009286CA01,Accepting Proxy,40344.12,0,118130,VECINO DEL MAR OWNERS ASSOCIATION INC,VECINO DEL MAR OWNERS ASSOCIATION INC,HIDDEN,2350 NE 135 ST 1206,NORTH MIAMI,33181,06-2229-093-0760,0622290930760,
02/22/2021,01/07/2021,2010-057994-CA-01,2010057994CA01,FAUCTION11320601432202010057994CA01,Accepting Proxy,833263.32,0,368828,"Gmac Mortgage (llc),","Gmac Mortgage (llc),",HIDDEN,961 NE 96 ST,MIAMI SHORES,33138,11-3206-014-3220,1132060143220,
02/22/2021,01/07/2021,2012-045373-CA-01,2012045373CA01,FAUCTION34210900936802012045373CA01,Accepting Proxy,484049.32,0,86667,"Nationstar Mortgage Llc,","Nationstar Mortgage Llc,",HIDDEN,3241 NW 174 ST,MIAMI GARDENS,33056,34-2109-009-3680,3421090093680,
02/22/2021,01/07/2021,2016-010055-CA-01,2016010055CA01,FAUCTION18310102807602016010055CA01,Accepting Proxy,553864.21,0,339766,CIVIC HOLDINGS II TRUST,CIVIC HOLDINGS II TRUST,HIDDEN,147 NW 87 ST,EL PORTAL,33150,18-3101-028-0760,1831010280760,
02/22/2021,01/07/2021,2018-002903-CA-01,2018002903CA01,FAUCTION2321102517102018002903CA01,Accepting Proxy,266990.9,0,242400,"DEUTSCHE BANK NATIONAL TRUST COMPANY, ","DEUTSCHE BANK NATIONAL TRUST COMPANY, ",HIDDEN,6039 COLLINS AVE 816,MIAMI BEACH,33140,02-3211-025-1710,0232110251710,
02/22/2021,01/07/2021,2012-031361-CA-01,2012031361CA01,FAUCTION1400101308102012031361CA01,Accepting Proxy,377904.11,0,127549,"Onewest Bank Fsb,","Onewest Bank Fsb,",HIDDEN,331 SW 62 AVE,MIAMI,33144,01-4001-013-0810,0140010130810,
02/22/2021,01/05/2021,2017-010226-CA-01,2017010226CA01,FAUCTION1313103256102017010226CA01,Accepting Proxy,636095.64,0,153300,"Trifera, LLC","Trifera, LLC",HIDDEN,5077 NW 7 ST 815,MIAMI,33126,01-3131-032-5610,0131310325610,
02/22/2021,01/05/2021,2019-035339-CA-01,2019035339CA01,FAUCTION10792900906402019035339CA01,Accepting Proxy,171115.52,0,105000,MADISON ALAMOSA HECM LLC,MADISON ALAMOSA HECM LLC,HIDDEN,2999 SE 17 AVE,HOMESTEAD,33035,10-7929-009-0640,1079290090640,
02/22/2021,01/05/2021,2017-019145-CA-01,2017019145CA01,FAUCTION1311404108102017019145CA01,Accepting Proxy,85352.65,0,56713,DEUTSCHE BANK NATIONAL TRUST COMPANY (TR),DEUTSCHE BANK NATIONAL TRUST COMPANY (TR),HIDDEN,5510 NW 13 AVE,MIAMI,33142,01-3114-041-0810,0131140410810,
02/22/2021,01/04/2021,2019-034469-CA-01,2019034469CA01,FAUCTION30402309505702019034469CA01,Accepting Proxy,144116.09,0,48056,Wilmington Savings Fund Society FSB,Wilmington Savings Fund Society FSB,HIDDEN,4250 SW 67 AVE 7,MIAMI,33155,30-4023-095-0570,3040230950570,
02/22/2021,01/04/2021,2020-007751-CA-01,2020007751CA01,FAUCTION35300800727602020007751CA01,Accepting Proxy,581020.16,0,583150,Altamar Financial Group LLC,Altamar Financial Group LLC,HIDDEN,9825 NW 75 ST,DORAL,33178,35-3008-007-2760,3530080072760,
02/23/2021,01/04/2021,2018-037958-CA-01,2018037958CA01,FAUCTION30790802501002018037958CA01,Accepting Proxy,143644.58,0,0,HSBC BANK USA NATIONAL ASSOCIATION AS INDENTURE TR,HSBC BANK USA NATIONAL ASSOCIATION AS INDENTURE TR,HIDDEN,,,,30-7908-025-0100,3079080250100,
02/24/2021,01/05/2021,2020-002364-CA-01,2020002364CA01,FAUCTION10781302411602020002364CA01,Accepting Proxy,48183.29,0,39492,U.S. BANK N.A,U.S. BANK N.A,HIDDEN,221 NW 9 AVE,HOMESTEAD,33030,10-7813-024-1160,1078130241160,
02/24/2021,01/08/2021,2018-014091-CA-01,2018014091CA01,FAUCTION34210200804202018014091CA01,Accepting Proxy,,0,0,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,,,,34-2102-008-0420,3421020080420,
03/08/2021,01/06/2021,2018-017334-CA-01,2018017334CA01,FAUCTION1312301105502018017334CA01,Accepting Proxy,,0,0,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,,,,01-3123-011-0550,0131230110550,
03/08/2021,01/06/2021,2019-007995-CA-01,2019007995CA01,FAUCTION1410509709502019007995CA01,Accepting Proxy,539183.97,0,202756,"MTGLQ INVESTORS, L.P.","MTGLQ INVESTORS, L.P.",HIDDEN,4242 NW 2 ST 1110,MIAMI,33126,01-4105-097-0950,0141050970950,
03/08/2021,01/07/2021,2019-036695-CA-01,2019036695CA01,FAUCTION30693600905502019036695CA01,Accepting Proxy,173502.26,0,89404,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,12030 SW 268 ST 55,MIAMI,33032,30-6936-009-0550,3069360090550,
03/08/2021,01/08/2021,2020-001294-CA-01,2020001294CA01,FAUCTION10792102639002020001294CA01,Accepting Proxy,15140.5,0,168000,Keys Gate Community Association Inc.,Keys Gate Community Association Inc.,HIDDEN,2591 SE 13 CT,HOMESTEAD,33035,10-7921-026-3900,1079210263900,
03/10/2021,01/04/2021,2018-014256-CA-01,2018014256CA01,FAUCTION30123105100802018014256CA01,Accepting Proxy,127907.01,0,42854,New Penn Financial LLC,New Penn Financial LLC,HIDDEN,801 NE 199 ST 108-10,MIAMI,33179,30-1231-051-0080,3012310510080,
03/15/2021,01/04/2021,2019-022588-CA-01,2019022588CA01,FAUCTION2320301102502019022588CA01,Accepting Proxy,294340.68,0,209583,U.S. BANK NATIONAL ASSOCIATION (TR),U.S. BANK NATIONAL ASSOCIATION (TR),HIDDEN,660 86 ST,MIAMI BEACH,33141,02-3203-011-0250,0232030110250,
03/15/2021,01/05/2021,2018-036822-CA-01,2018036822CA01,FAUCTION30501900135902018036822CA01,Accepting Proxy,226686.6,0,162900,WELLS FARGO BANK NA,WELLS FARGO BANK NA,HIDDEN,14760 JACKSON ST,MIAMI,33176,30-5019-001-3590,3050190013590,
03/15/2021,01/05/2021,2019-006706-CA-01,2019006706CA01,FAUCTION7222100307102019006706CA01,Accepting Proxy,115955.5,0,79111,US BANK NATIONAL ASSOCIATION,US BANK NATIONAL ASSOCIATION,HIDDEN,13625 NE 20 PL,NORTH MIAMI BEACH,33181,07-2221-003-0710,0722210030710,
03/16/2021,01/07/2021,2016-027044-CA-01,2016027044CA01,FAUCTION2323306603602016027044CA01,Accepting Proxy,558459.8,0,297400,US Bank Trust NA ,US Bank Trust NA ,HIDDEN,1401 BAY RD 509,MIAMI BEACH,33139,02-3233-066-0360,0232330660360,
03/24/2021,01/05/2021,2017-002312-CA-01,2017002312CA01,FAUCTION7221700819002017002312CA01,Accepting Proxy,270171.12,0,72869,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,1341 NE 153 ST,NORTH MIAMI BEACH,33162,07-2217-008-1900,0722170081900,
04/05/2021,01/05/2021,2020-007160-CA-01,2020007160CA01,FAUCTION30491601701302020007160CA01,Accepting Proxy,576818.27,0,0,U.S. BANK TRUST NATIONAL ASSOCIATION,U.S. BANK TRUST NATIONAL ASSOCIATION,HIDDEN,,,,30-4916-017-0130,3049160170130,
04/05/2021,01/05/2021,2018-018682-CA-01,2018018682CA01,FAUCTION7220800220502018018682CA01,Accepting Proxy,255856.02,0,0,"REVERSE MORTGAGE SOLUTIONS, INC.","REVERSE MORTGAGE SOLUTIONS, INC.",HIDDEN,,,,07-2208-002-2050,0722080022050,
04/06/2021,01/06/2021,2019-024442-CA-01,2019024442CA01,FAUCTION8212201105502019024442CA01,Accepting Proxy,,0,0,"WILMINGTON SAVINGS FUND SOCIETY, FSB (TR)","WILMINGTON SAVINGS FUND SOCIETY, FSB (TR)",HIDDEN,,,,08-2122-011-0550,0821220110550,
04/07/2021,01/07/2021,2019-009295-CA-01,2019009295CA01,FAUCTION30200900817702019009295CA01,Accepting Proxy,264251.72,0,0,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,,,,30-2009-008-1770,3020090081770,
04/07/2021,01/07/2021,2012-044839-CA-01,2012044839CA01,FAUCTION30590200504802012044839CA01,Accepting Proxy,,0,0,"Wells Fargo Bank (na) (tr),","Wells Fargo Bank (na) (tr),",HIDDEN,,,,30-5902-005-0480,3059020050480,
04/07/2021,01/08/2021,2018-002793-CA-01,2018002793CA01,FAUCTION5312003006902018002793CA01,Accepting Proxy,473332.2,0,0,DEUTSCHE BANK NATL TRUST CO,DEUTSCHE BANK NATL TRUST CO,HIDDEN,,,,05-3120-030-0690,0531200300690,
