Sale Date,Add Date,Database ID,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
04/05/2021,02/22/2021,FAUCTION30311210608902016019347CA01,2016-019347-CA-01,2016019347CA01,Accepting Proxy,147595.74,0,57240,Sunset Palm Villas Condominium Association Inc,Sunset Palm Villas Condominium Association Inc,HIDDEN,315 NW 84 ST 315,MIAMI,33150,30-3112-106-0890,3031121060890
04/07/2021,02/22/2021,FAUCTION30201301803402019025666CA01,2019-025666-CA-01,2019025666CA01,Accepting Proxy,,0,0,2000DK HOLDING CORPORATION,2000DK HOLDING CORPORATION,HIDDEN,,,,30-2013-018-0340,3020130180340
04/12/2021,02/22/2021,FAUCTION30491600104602019033834CA01,2019-033834-CA-01,2019033834CA01,Accepting Proxy,117864.63,0,155164,Valley National Bank,Valley National Bank,HIDDEN,3845 SW 149 PL,MIAMI,33185,30-4916-001-0460,3049160010460
04/12/2021,02/22/2021,FAUCTION34113503138502012032780CA01,2012-032780-CA-01,2012032780CA01,Accepting Proxy,740561.17,0,233982,"U S Bank (na) (tr),","U S Bank (na) (tr),",HIDDEN,20441 NW 10 AVE,MIAMI GARDENS,33169,34-1135-031-3850,3411350313850
04/12/2021,02/22/2021,FAUCTION04300221415202019033915CA01,2019-033915-CA-01,2019033915CA01,Accepting Proxy,67565.06,0,62244,Casa Bella Condominium Association of Hialeah Inc,Casa Bella Condominium Association of Hialeah Inc,HIDDEN,4550 W 16 AVE 301,HIALEAH,33012,04-3002-214-1520,0430022141520
04/12/2021,02/23/2021,FAUCTION10792000206402017019700CA01,2017-019700-CA-01,2017019700CA01,Accepting Proxy,334202.64,0,154948,US BANK NATIONAL ASSOCIATION,US BANK NATIONAL ASSOCIATION,HIDDEN,1602 N GOLDENEYE LN,HOMESTEAD,33035,10-7920-002-0640,1079200020640
04/12/2021,02/23/2021,FAUCTION01412201104302019009715CA01,2019-009715-CA-01,2019009715CA01,Accepting Proxy,145990.28,0,192000,Deutsche Bank Trust Company Americas,Deutsche Bank Trust Company Americas,HIDDEN,2539 S BAYSHORE DR 223A,MIAMI,33133,01-4122-011-0430,0141220110430
04/12/2021,02/24/2021,FAUCTION30220700003702014009863CA01,2014-009863-CA-01,2014009863CA01,Accepting Proxy,366264,0,141745,"Us Bank Na,","Us Bank Na,",HIDDEN,17121 NE 9 AVE,MIAMI,33162,30-2207-000-0370,3022070000370
04/12/2021,02/24/2021,FAUCTION01420606501502017017511CA01,2017-017511-CA-01,2017017511CA01,Accepting Proxy,544464.74,0,317949,HSBC BANK USA NATIONAL ASSOCIATION,HSBC BANK USA NATIONAL ASSOCIATION,HIDDEN,335 S BISCAYNE BLVD 2700,MIAMI,33131,01-4206-065-0150,0142060650150
04/12/2021,02/25/2021,FAUCTION30591202402702014029422CA01,2014-029422-CA-01,2014029422CA01,Accepting Proxy,612867.66,0,242460,"Us Bank Na,","Us Bank Na,",HIDDEN,11727 SW 113 TER,MIAMI,33186,30-5912-024-0270,3059120240270
04/12/2021,02/25/2021,FAUCTION30780200204002017021669CA01,2017-021669-CA-01,2017021669CA01,Accepting Proxy,477470.8,0,186914,"U.S. BANK TRUST, N.A., ","U.S. BANK TRUST, N.A., ",HIDDEN,29302 SW 193 CT,MIAMI,33030,30-7802-002-0400,3078020020400
04/12/2021,02/24/2021,FAUCTION30221802200302017020540CA01,2017-020540-CA-01,2017020540CA01,Accepting Proxy,312952.04,0,78471,NYMT LOAN TRUST 2014 RP1,NYMT LOAN TRUST 2014 RP1,HIDDEN,825 NE 155 TER,MIAMI,33162,30-2218-022-0030,3022180220030
04/12/2021,02/26/2021,FAUCTION10792900721902019028641CA01,2019-028641-CA-01,2019028641CA01,Accepting Proxy,11642.97,0,56940,Venetia Gardens Condominium Association Inc,Venetia Gardens Condominium Association Inc,HIDDEN,1271 SE 28 CT 102,HOMESTEAD,33035,10-7929-007-2190,1079290072190
04/12/2021,02/25/2021,FAUCTION01411610202902016010586CA01,2016-010586-CA-01,2016010586CA01,Accepting Proxy,82695.22,0,153139,DEUTSCHE BANK NATIONAL TRUST COMPANY  AS CERTIFICA,DEUTSCHE BANK NATIONAL TRUST COMPANY  AS CERTIFICA,HIDDEN,3500 CORAL WAY 802,MIAMI,33145,01-4116-102-0290,0141161020290
04/12/2021,02/25/2021,FAUCTION01410500604002018029767CA01,2018-029767-CA-01,2018029767CA01,Accepting Proxy,456879.1,0,266230,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,3741 NW 1 ST,MIAMI,33126,01-4105-006-0400,0141050060400
04/12/2021,02/24/2021,FAUCTION09402507929402019024741CA01,2019-024741-CA-01,2019024741CA01,Accepting Proxy,24170.86,0,157000,"VALENCIA SOUTH MIAMI CONDOMINIUM ASSOCIATION, INC.","VALENCIA SOUTH MIAMI CONDOMINIUM ASSOCIATION, INC.",HIDDEN,6001 SW 70 ST 655,SOUTH MIAMI,33143,09-4025-079-2940,0940250792940
04/13/2021,02/22/2021,FAUCTION30593600406902019011742CA01,2019-011742-CA-01,2019011742CA01,Accepting Proxy,468380.86,0,266440,HSBC Bank USA,HSBC Bank USA,HIDDEN,12440 SW 185 TER,MIAMI,33177,30-5936-004-0690,3059360040690
04/14/2021,02/22/2021,FAUCTION30123105100802018014256CA01,2018-014256-CA-01,2018014256CA01,Accepting Proxy,127907.01,0,42854,New Penn Financial LLC,New Penn Financial LLC,HIDDEN,801 NE 199 ST 108-10,MIAMI,33179,30-1231-051-0080,3012310510080
04/19/2021,02/23/2021,FAUCTION30682600001162018004694CA01,2018-004694-CA-01,2018004694CA01,Accepting Proxy,16537.37,0,259850,John Abell Corporation,John Abell Corporation,HIDDEN,25100 SW 189 AVE,MIAMI,33031,30-6826-000-0116,3068260000116
04/19/2021,02/25/2021,FAUCTION01413908224402014002280CA01,2014-002280-CA-01,2014002280CA01,Accepting Proxy,478155.73,0,571278,"Bank Of America Na,","Bank Of America Na,",HIDDEN,1331 BRICKELL BAY DR 1608,MIAMI,33131,01-4139-082-2440,0141390822440
04/19/2021,02/26/2021,FAUCTION30401900121502019011799CA01,2019-011799-CA-01,2019011799CA01,Accepting Proxy,207858.1,0,267356,ARCPE 1 LLC,ARCPE 1 LLC,HIDDEN,11471 SW 42 TER,MIAMI,33165,30-4019-001-2150,3040190012150
04/26/2021,02/26/2021,FAUCTION30590303012502018017240CA01,2018-017240-CA-01,2018017240CA01,Accepting Proxy,222915.29,0,137500,CIT BANK NA,CIT BANK NA,HIDDEN,9737 SW 138 AVE IC1R,MIAMI,33186,30-5903-030-1250,3059030301250
04/26/2021,02/26/2021,FAUCTION30593402006802019004774CA01,2019-004774-CA-01,2019004774CA01,Accepting Proxy,461620.29,0,0,WILMINGTON SAVINGS FUND SOCIETY FSB NOT IN ITS IND,WILMINGTON SAVINGS FUND SOCIETY FSB NOT IN ITS IND,HIDDEN,,,,30-5934-020-0680,3059340200680
04/26/2021,02/26/2021,FAUCTION30601901201902019005561CA01,2019-005561-CA-01,2019005561CA01,Accepting Proxy,703844.16,0,257557,BANK OF AMERICA N.A.,BANK OF AMERICA N.A.,HIDDEN,24363 SW 113 AVE,MIAMI,33032,30-6019-012-0190,3060190120190
04/26/2021,02/26/2021,FAUCTION10792100906902019027536CA01,2019-027536-CA-01,2019027536CA01,Accepting Proxy,20383.86,0,40597,Keys Gate Community Association Inc.,Keys Gate Community Association Inc.,HIDDEN,2273 SE 27 DR 105-F,HOMESTEAD,33035,10-7921-009-0690,1079210090690
04/26/2021,02/24/2021,FAUCTION28123501107202018015936CA01,2018-015936-CA-01,2018015936CA01,Accepting Proxy,215272.12,0,118000,US BANK NATIONAL ASSOCIATION ,US BANK NATIONAL ASSOCIATION ,HIDDEN,3401 N COUNTRY CLUB DR EI506,AVENTURA,33180,28-1235-011-0720,2812350110720
04/26/2021,02/23/2021,FAUCTION30311600916902019005463CA01,2019-005463-CA-01,2019005463CA01,Accepting Proxy,193304.25,0,99845,BANK OF NEW YORK MELLON,BANK OF NEW YORK MELLON,HIDDEN,5550 NW 31 AVE,MIAMI,33142,30-3116-009-1690,3031160091690
04/26/2021,02/24/2021,FAUCTION30212502408802016021168CA01,2016-021168-CA-01,2016021168CA01,Accepting Proxy,276161.93,0,96927,U S Bank Natl Assn,U S Bank Natl Assn,HIDDEN,13351 NW 1 AVE,MIAMI,33168,30-2125-024-0880,3021250240880
04/28/2021,02/25/2021,FAUCTION01413816713302020022397CA01,2020-022397-CA-01,2020022397CA01,Accepting Proxy,23609.25,0,0,BCC North SCU LLC,BCC North SCU LLC,HIDDEN,,,,01-4138-167-1330,0141381671330
05/19/2021,02/22/2021,FAUCTION34210900203502017012996CA01,2017-012996-CA-01,2017012996CA01,Accepting Proxy,340140.87,0,69299,Deutsche Bank National,Deutsche Bank National,HIDDEN,2810 NW 179 ST,MIAMI GARDENS,33056,34-2109-002-0350,3421090020350
05/19/2021,02/22/2021,FAUCTION34210200804202018014091CA01,2018-014091-CA-01,2018014091CA01,Accepting Proxy,247157.13,0,201708,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,1331 NW 191 ST,MIAMI GARDENS,33169,34-2102-008-0420,3421020080420
05/19/2021,02/22/2021,FAUCTION03411800621402008052238CA01,2008-052238-CA-01,2008052238CA01,Accepting Proxy,1515519.83,0,836827,"U S Bank (NA) (Tr),","U S Bank (NA) (Tr),",HIDDEN,1535 TREVINO AVE,CORAL GABLES,33134,03-4118-006-2140,0341180062140
05/19/2021,02/22/2021,FAUCTION01412119409502019000763CA01,2019-000763-CA-01,2019000763CA01,Accepting Proxy,325081.03,0,220000,HSBC BANK USA NATIONAL ASSOC (trustee),HSBC BANK USA NATIONAL ASSOC (trustee),HIDDEN,2951 S BAYSHORE DR 910,MIAMI,33133,01-4121-194-0950,0141211940950
05/19/2021,02/22/2021,FAUCTION01412902000802017018912CA01,2017-018912-CA-01,2017018912CA01,Accepting Proxy,1650417.23,0,1265995,Deutsche Bank National Trust Company,Deutsche Bank National Trust Company,HIDDEN,4280 INGRAHAM HWY,MIAMI,33133,01-4129-020-0080,0141290200080
05/24/2021,02/23/2021,FAUCTION02420311201502018009992CA01,2018-009992-CA-01,2018009992CA01,Accepting Proxy,580382.09,0,0,"Wilmington Trust, National Association,","Wilmington Trust, National Association,",HIDDEN,,,,02-4203-112-0150,0242031120150
05/24/2021,02/23/2021,FAUCTION33503400005302019016230CA01,2019-016230-CA-01,2019016230CA01,Accepting Proxy,941765.28,0,516938,HSBC BANK USA NA,HSBC BANK USA NA,HIDDEN,8241 SW 183 ST,PALMETTO BAY,33157,33-5034-000-0530,3350340000530
05/24/2021,02/23/2021,FAUCTION30790300700302018039718CA01,2018-039718-CA-01,2018039718CA01,Accepting Proxy,232216.42,0,178351,DEUTSCHE BANK NATIONAL TRUST COMPANY AS TRUSTEE FO,DEUTSCHE BANK NATIONAL TRUST COMPANY AS TRUSTEE FO,HIDDEN,14520 SW 293 ST,MIAMI,33033,30-7903-007-0030,3079030070030
05/24/2021,02/24/2021,FAUCTION34211600313502012035095CA01,2012-035095-CA-01,2012035095CA01,Accepting Proxy,264576.64,0,184292,"Bank Of America N A,","Bank Of America N A,",HIDDEN,16045 NW 27 PL,MIAMI GARDENS,33054,34-2116-003-1350,3421160031350
05/24/2021,02/23/2021,FAUCTION30201107711602017007846CA01,2017-007846-CA-01,2017007846CA01,Accepting Proxy,472095.16,0,191000,"Bank of America, N.A. ","Bank of America, N.A. ",HIDDEN,18003 NW 74 PATH,MIAMI,33015,30-2011-077-1160,3020110771160
05/24/2021,02/26/2021,FAUCTION06212400224502020020729CA01,2020-020729-CA-01,2020020729CA01,Accepting Proxy,169853.02,0,0,"U.S. BANK NATIONAL ASSOCIATION, NOT IN  ITS","U.S. BANK NATIONAL ASSOCIATION, NOT IN  ITS",HIDDEN,,,,06-2124-002-2450,0621240022450
