Sale Date,Add Date,Case Number,Formatted Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
03/09/2021,01/19/2021,2019-024209-CA-01,2019024209CA01,FAUCTION33503300002402019024209CA01,Accepting Proxy,589732.65,0,561119,"Black River Partners I, LLC","Black River Partners I, LLC",HIDDEN,9100 SW 174 ST,PALMETTO BAY,33157,33-5033-000-0240,3350330000240
03/09/2021,01/21/2021,2020-001098-CA-01,2020001098CA01,FAUCTION04311800607212020001098CA01,Accepting Proxy,386640.5,0,0,Northwest Bank,Northwest Bank,HIDDEN,235 E 7 ST,HIALEAH,33010,04-3118-006-0721,0431180060721
03/10/2021,01/19/2021,2020-005956-CA-01,2020005956CA01,FAUCTION04202103114902020005956CA01,Accepting Proxy,9194.06,0,285769,Bonterra Community Association Inc.,Bonterra Community Association Inc.,HIDDEN,3461 W 99 PL,HIALEAH,33018,04-2021-031-1490,0420210311490
03/10/2021,01/21/2021,2013-023131-CA-01,2013023131CA01,FAUCTION30592301810702013023131CA01,Accepting Proxy,874569.78,0,273984,Pennymac Corporation,Pennymac Corporation,HIDDEN,13335 SW 144 TER,MIAMI,33186,30-5923-018-1070,3059230181070
03/15/2021,01/19/2021,2020-004601-CA-01,2020004601CA01,FAUCTION35300701122602020004601CA01,Accepting Proxy,306510.07,0,286606,"Waterfall Victoria Grantor Trust II, Series G","Waterfall Victoria Grantor Trust II, Series G",HIDDEN,11363 NW 83 WAY,DORAL,33178,35-3007-011-2260,3530070112260
03/22/2021,01/20/2021,2019-024481-CA-01,2019024481CA01,FAUCTION34210101802102019024481CA01,Accepting Proxy,214690.42,0,140231,US BANK NATIONAL ASSOCIATION (TR),US BANK NATIONAL ASSOCIATION (TR),HIDDEN,18400 NW 5 AVE,MIAMI GARDENS,33169,34-2101-018-0210,3421010180210
03/23/2021,01/19/2021,2019-022087-CA-01,2019022087CA01,FAUCTION33502803001102019022087CA01,Accepting Proxy,733932.75,0,281324,DEUTSCHE BANK NATIONAL TRUST COMPANY (TR) ,DEUTSCHE BANK NATIONAL TRUST COMPANY (TR) ,HIDDEN,9111 SW 164 ST,PALMETTO BAY,33157,33-5028-030-0110,3350280300110
03/23/2021,01/21/2021,2016-025007-CA-01,2016025007CA01,FAUCTION01323106200902016025007CA01,Accepting Proxy,910118.9,0,0,WILMINGTON SAVINGS FUND SOCIETY FSB,WILMINGTON SAVINGS FUND SOCIETY FSB,HIDDEN,1040 BISCAYNE BLVD #2701,MIAMI,33132,01-3231-062-0090,0132310620090
04/05/2021,01/21/2021,2018-006060-CA-01,2018006060CA01,FAUCTION10790302904402018006060CA01,Accepting Proxy,415902.21,0,160363,HSBC BANK USA NA,HSBC BANK USA NA,HIDDEN,4144 NE 26 ST,HOMESTEAD,33033,10-7903-029-0440,1079030290440
04/12/2021,01/21/2021,2019-004259-CA-01,2019004259CA01,FAUCTION30201108308802019004259CA01,Accepting Proxy,386703.65,0,127647,Bank Of America NA,Bank Of America NA,HIDDEN,18111 NW 68 AVE G-104,MIAMI,33015,30-2011-083-0880,3020110830880
04/12/2021,01/21/2021,2019-019679-CA-01,2019019679CA01,FAUCTION30310200611002019019679CA01,Accepting Proxy,170965.12,0,0,Park Lane Funding Corp.,Park Lane Funding Corp.,HIDDEN,9900 NW 12 AVE,Miami,33150,30-3102-006-1100,3031020061100
04/12/2021,01/19/2021,2019-026691-CA-01,2019026691CA01,FAUCTION30311500539502019026691CA01,Accepting Proxy,114254.45,0,79778,HABITAT FOR HUMANITY OF GREATER MIAMI INC,HABITAT FOR HUMANITY OF GREATER MIAMI INC,HIDDEN,1861 NW 62 TER,MIAMI,33147,30-3115-005-3950,3031150053950
04/21/2021,01/19/2021,2018-018584-CA-01,2018018584CA01,FAUCTION35301801600202018018584CA01,Accepting Proxy,921705.22,0,511475,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,10920 NW 73 ST,DORAL,33178,35-3018-016-0020,3530180160020
04/21/2021,01/22/2021,2017-017520-CA-01,2017017520CA01,FAUCTION30492901603402017017520CA01,Accepting Proxy,,0,0,U S Bank Natl Assn,U S Bank Natl Assn,HIDDEN,6562 SW 164 CT,MIAMI,33193,30-4929-016-0340,3049290160340
