Database,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION30790801702302019008051CA01,04/12/2021,03/01/2021,2019-008051-CA-01,2019008051CA01,Accepting Proxy,235638.46,0,95133,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,15710 SW 297 ST,MIAMI,33033,30-7908-017-0230,3079080170230
FAUCTION36601601908202010023029CA01,04/12/2021,03/02/2021,2010-023029-CA-01,2010023029CA01,Accepting Proxy,3436.5,0,0,"Shores Community Assn Inc (the),","Shores Community Assn Inc (the),",HIDDEN,,,,36-6016-019-0820,3660160190820
FAUCTION35302900202612013010414CA01,04/12/2021,03/05/2021,2013-010414-CA-01,2013010414CA01,Accepting Proxy,242266.83,0,374262,"U S Bank (na),","U S Bank (na),",HIDDEN,9921 NW 27 ST,DORAL,33172,35-3029-002-0261,3530290020261
FAUCTION01411400701802018019201CA01,04/12/2021,03/05/2021,2018-019201-CA-01,2018019201CA01,Accepting Proxy,1079404.7,0,886957,NATIONSTAR MORTGAGE LLC ,NATIONSTAR MORTGAGE LLC ,HIDDEN,85 W SHORE DR,MIAMI,33133,01-4114-007-0180,0141140070180
FAUCTION01323105905402017024842CA01,04/19/2021,03/05/2021,2017-024842-CA-01,2017024842CA01,Accepting Proxy,20367,0,0,"1800 BISCAYNE PLAZA CONDOMINIUM ASSOCIATION, INC.","1800 BISCAYNE PLAZA CONDOMINIUM ASSOCIATION, INC.",HIDDEN,,,,01-3231-059-0540,0132310590540
FAUCTION30212700124502013038928CA01,04/19/2021,03/05/2021,2013-038928-CA-01,2013038928CA01,Accepting Proxy,181258.62,0,58363,"Thn Bank Of New York Mellon,","Thn Bank Of New York Mellon,",HIDDEN,12530 NW 21 PL,MIAMI,33167,30-2127-001-2450,3021270012450
FAUCTION28123501110902019032651CA01,04/19/2021,03/05/2021,2019-032651-CA-01,2019032651CA01,Accepting Proxy,10391.22,0,138900,"ENSENADA CONDOMINIUM ASSOCIATION, INC","ENSENADA CONDOMINIUM ASSOCIATION, INC",HIDDEN,3401 N COUNTRY CLUB DR 707,AVENTURA,33180,28-1235-011-1090,2812350111090
FAUCTION30501901406402019013481CA01,04/19/2021,03/05/2021,2019-013481-CA-01,2019013481CA01,Accepting Proxy,291002.51,0,351646,NATIONSTAR MORTGAGE LLC ,NATIONSTAR MORTGAGE LLC ,HIDDEN,13730 SW 112 CT,MIAMI,33176,30-5019-014-0640,3050190140640
FAUCTION01312301105502018017334CA01,04/19/2021,03/05/2021,2018-017334-CA-01,2018017334CA01,Accepting Proxy,280020.3,0,49024,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,1177 NW 48 ST,MIAMI,33127,01-3123-011-0550,0131230110550
FAUCTION30200101303602019033317CA01,04/19/2021,03/05/2021,2019-033317-CA-01,2019033317CA01,Accepting Proxy,12687.84,0,145625,Country Lake Manors Community Association Inc.,Country Lake Manors Community Association Inc.,HIDDEN,6718 NW 193 LN,MIAMI,33015,30-2001-013-0360,3020010130360
FAUCTION30582100007602019034089CA01,04/19/2021,03/04/2021,2019-034089-CA-01,2019034089CA01,Accepting Proxy,174157.76,0,75000,AWFA Enterprise Inc.,AWFA Enterprise Inc.,HIDDEN,,MIAMI,33196,30-5821-000-0760,3058210000760
FAUCTION10791701423202018030539CA01,04/19/2021,03/04/2021,2018-030539-CA-01,2018030539CA01,Accepting Proxy,211940.1,0,72004,FEDERAL NATIONAL MORTGAGE ASSOCIATION (FANNIE MAE),FEDERAL NATIONAL MORTGAGE ASSOCIATION (FANNIE MAE),HIDDEN,515 SE 22 LN,HOMESTEAD,33033,10-7917-014-2320,1079170142320
FAUCTION30590200510302018024616CA01,04/19/2021,03/04/2021,2018-024616-CA-01,2018024616CA01,Accepting Proxy,313839.88,0,364259,FEDERAL NATIONAL MORTGAGE ASSOCIATION,FEDERAL NATIONAL MORTGAGE ASSOCIATION,HIDDEN,13455 SW 96 TER,MIAMI,33186,30-5902-005-1030,3059020051030
FAUCTION30320605103402017001966CA01,04/19/2021,03/03/2021,2017-001966-CA-01,2017001966CA01,Accepting Proxy,,0,0,Preserve Town Homes Condominium Association Inc.,Preserve Town Homes Condominium Association Inc.,HIDDEN,,,,30-3206-051-0340,3032060510340
FAUCTION30220402003902019023588CA01,04/19/2021,03/02/2021,2019-023588-CA-01,2019023588CA01,Accepting Proxy,373030.86,0,456005,Imperial Fund I LLC,Imperial Fund I LLC,HIDDEN,19620 NE 21 CT,MIAMI,33179,30-2204-020-0390,3022040200390
FAUCTION30223206102702019022327CA01,04/19/2021,03/04/2021,2019-022327-CA-01,2019022327CA01,Accepting Proxy,230036.25,0,86848,NATIONSTAR MORTGAGE LLC ,NATIONSTAR MORTGAGE LLC ,HIDDEN,11111 BISCAYNE BLVD 4G,MIAMI,33181,30-2232-061-0270,3022320610270
FAUCTION04203500715602019002844CA01,04/19/2021,03/03/2021,2019-002844-CA-01,2019002844CA01,Accepting Proxy,214978.55,0,171429,BANK OF NEW YORK MELLON(THE),BANK OF NEW YORK MELLON(THE),HIDDEN,1280 W 63 ST,HIALEAH,33012,04-2035-007-1560,0420350071560
FAUCTION30212302601302016003713CA01,04/19/2021,03/03/2021,2016-003713-CA-01,2016003713CA01,Accepting Proxy,259802.12,0,454182,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,14135 NW 17 AVE,MIAMI,33167,30-2123-026-0130,3021230260130
FAUCTION27300303406502020019858CA01,04/19/2021,03/02/2021,2020-019858-CA-01,2020019858CA01,Accepting Proxy,28643.16,0,145442,"Vista del Lago I Condominium Association, Inc.","Vista del Lago I Condominium Association, Inc.",HIDDEN,9915 W OKEECHOBEE RD 2-503,HIALEAH GARDENS,33016,27-3003-034-0650,2730030340650
FAUCTION30500300010342017029079CA01,04/19/2021,03/01/2021,2017-029079-CA-01,2017029079CA01,Accepting Proxy,1266865.47,0,748732,"HMC ASSETS, LLC ","HMC ASSETS, LLC ",HIDDEN,8471 SW 100 ST,MIAMI,33156,30-5003-000-1034,3050030001034
FAUCTION35302202918402017012912CA01,04/19/2021,03/01/2021,2017-012912-CA-01,2017012912CA01,Accepting Proxy,369703.12,0,152000,"WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON SAVINGS FUND SOCIETY, FSB",HIDDEN,5112 NW 79 AVE 206,DORAL,33166,35-3022-029-1840,3530220291840
FAUCTION16782403704102017011405CA01,04/21/2021,03/04/2021,2017-011405-CA-01,2017011405CA01,Accepting Proxy,444345.43,0,0,"Colony American Finance 2016-2, Ltd.","Colony American Finance 2016-2, Ltd.",HIDDEN,,,,16-7824-037-0410,1678240370410
FAUCTION16782403704202017011405CA01,04/21/2021,03/04/2021,2017-011405-CA-01,2017011405CA01,Accepting Proxy,444345.43,0,0,"Colony American Finance 2016-2, Ltd.","Colony American Finance 2016-2, Ltd.",HIDDEN,,,,16-7824-037-0420,1678240370420
FAUCTION16782403704302017011405CA01,04/21/2021,03/04/2021,2017-011405-CA-01,2017011405CA01,Accepting Proxy,444345.43,0,0,"Colony American Finance 2016-2, Ltd.","Colony American Finance 2016-2, Ltd.",HIDDEN,,,,16-7824-037-0430,1678240370430
FAUCTION16782403704502017011405CA01,04/21/2021,03/04/2021,2017-011405-CA-01,2017011405CA01,Accepting Proxy,444345.43,0,0,"Colony American Finance 2016-2, Ltd.","Colony American Finance 2016-2, Ltd.",HIDDEN,,,,16-7824-037-0450,1678240370450
FAUCTION16782403704702017011405CA01,04/21/2021,03/04/2021,2017-011405-CA-01,2017011405CA01,Accepting Proxy,444345.43,0,0,"Colony American Finance 2016-2, Ltd.","Colony American Finance 2016-2, Ltd.",HIDDEN,,,,16-7824-037-0470,1678240370470
FAUCTION16782403704802017011405CA01,04/21/2021,03/04/2021,2017-011405-CA-01,2017011405CA01,Accepting Proxy,444345.43,0,0,"Colony American Finance 2016-2, Ltd.","Colony American Finance 2016-2, Ltd.",HIDDEN,,,,16-7824-037-0480,1678240370480
FAUCTION04300105009502018007240CA01,04/26/2021,03/01/2021,2018-007240-CA-01,2018007240CA01,Accepting Proxy,336480.9,0,243134,U.S. BANK NATIONAL ASSOCIATION,U.S. BANK NATIONAL ASSOCIATION,HIDDEN,4241 W 10 AVE,HIALEAH,33012,04-3001-050-0950,0430010500950
FAUCTION30401701500102013035085CA01,04/27/2021,03/01/2021,2013-035085-CA-01,2013035085CA01,Accepting Proxy,453434.34,0,307150,"Nationstar Mortgage Llc,","Nationstar Mortgage Llc,",HIDDEN,3201 SW 98 AVE,MIAMI,33165,30-4017-015-0010,3040170150010
FAUCTION01413706400102019026029CA01,05/03/2021,03/02/2021,2019-026029-CA-01,2019026029CA01,Accepting Proxy,337280.3,0,174090,"HELM BANK USA, a Florida corporation","HELM BANK USA, a Florida corporation",HIDDEN,244 BISCAYNE BLVD 301,MIAMI,33132,01-4137-064-0010,0141370640010
FAUCTION30592800205802018034376CA01,05/03/2021,03/04/2021,2018-034376-CA-01,2018034376CA01,Accepting Proxy,411335.77,0,184393,BANK OF NEW YORK MELLON (THE),BANK OF NEW YORK MELLON (THE),HIDDEN,15230 SW 154 AVE,MIAMI,33187,30-5928-002-0580,3059280020580
FAUCTION30693600905502019036695CA01,05/03/2021,03/05/2021,2019-036695-CA-01,2019036695CA01,Accepting Proxy,173502.26,0,89404,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,12030 SW 268 ST 55,MIAMI,33032,30-6936-009-0550,3069360090550
FAUCTION30693402167402016025527CA01,05/03/2021,03/05/2021,2016-025527-CA-01,2016025527CA01,Accepting Proxy,726053.67,0,0,MTGLQ Investors L P,MTGLQ Investors L P,HIDDEN,,,,30-6934-021-6740,3069340216740
FAUCTION33503501500802012015669CA01,05/10/2021,03/01/2021,2012-015669-CA-01,2012015669CA01,Accepting Proxy,2249290.39,0,569908,U S Bank Trust  NA,U S Bank Trust  NA,HIDDEN,17520 SW 73 CT,PALMETTO BAY,33157,33-5035-015-0080,3350350150080
FAUCTION01411006407202012010736CA01,05/12/2021,03/01/2021,2012-010736-CA-01,2012010736CA01,Accepting Proxy,976743.69,0,395883,"Hsbc Bank Usa (na) (tr),","Hsbc Bank Usa (na) (tr),",HIDDEN,1751 SW 14 ST,MIAMI,33145,01-4110-064-0720,0141100640720
FAUCTION04311700804912019017038CA01,05/12/2021,03/02/2021,2019-017038-CA-01,2019017038CA01,Accepting Proxy,179436.05,0,241122,"HSBC BANK USA, N.A. (TR)","HSBC BANK USA, N.A. (TR)",HIDDEN,820 E 16 PL,HIALEAH,33010,04-3117-008-0491,0431170080491
FAUCTION30591000406702017014759CA01,05/17/2021,03/04/2021,2017-014759-CA-01,2017014759CA01,Accepting Proxy,691757.21,0,210390,HSBC BANK USA,HSBC BANK USA,HIDDEN,11026 SW 139 PL,MIAMI,33186,30-5910-004-0670,3059100040670
FAUCTION36600300801202017012175CA01,05/19/2021,03/02/2021,2017-012175-CA-01,2017012175CA01,Accepting Proxy,543671.98,0,0,"HMC ASSETS, LLC ","HMC ASSETS, LLC ",HIDDEN,8365 SW 186 ST,CUTLER BAY,33157,36-6003-008-0120,3660030080120
FAUCTION36600300801302017012175CA01,05/19/2021,03/02/2021,2017-012175-CA-01,2017012175CA01,Accepting Proxy,543671.98,0,0,"HMC ASSETS, LLC ","HMC ASSETS, LLC ",HIDDEN,8365 SW 186 ST,CUTLER BAY,33157,36-6003-008-0130,3660030080130
FAUCTION14223504506002016006318CA01,05/25/2021,03/03/2021,2016-006318-CA-01,2016006318CA01,Accepting Proxy,1264656.53,0,915257,U.S. BANK NATIONAL ASSOCIATION (TRUSTEE),U.S. BANK NATIONAL ASSOCIATION (TRUSTEE),HIDDEN,9499 COLLINS AVE PH-06,SURFSIDE,33154,14-2235-045-0600,1422350450600
FAUCTION35301800701602013036039CA01,06/01/2021,03/04/2021,2013-036039-CA-01,2013036039CA01,Accepting Proxy,1888508.96,0,681917,"Jpmorgan Chase Bank National Association,","Jpmorgan Chase Bank National Association,",HIDDEN,6531 NW 112 PL,DORAL,33178,35-3018-007-0160,3530180070160
FAUCTION30491401800802019022694CA01,06/01/2021,03/05/2021,2019-022694-CA-01,2019022694CA01,Accepting Proxy,249915.71,0,0,NATIONSTAR MORTGAGE LLC,NATIONSTAR MORTGAGE LLC,HIDDEN,13475 SW 18 LN ,MIAMI,33175,30-4914-018-0080,3049140180080
FAUCTION02322604314102019026500CA01,06/02/2021,03/05/2021,2019-026500-CA-01,2019026500CA01,Accepting Proxy,543048.13,0,0,REALTY SHARES REO LLC,REALTY SHARES REO LLC,HIDDEN,,,,02-3226-043-1410,0232260431410
