Sale Date,Add Date,Database ID,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
03/22/2021,02/17/2021,FAUCTION08212200606402019014710CA01,2019-014710-CA-01,2019014710CA01,Accepting Proxy,161732.89,0,41946,INNOVA INVESTMENT GROUP LLC,INNOVA INVESTMENT GROUP LLC,HIDDEN,1820 RUTLAND ST,OPA-LOCKA,33054,08-2122-006-0640,0821220060640
03/22/2021,02/17/2021,FAUCTION02321401825902018034114CA01,2018-034114-CA-01,2018034114CA01,Accepting Proxy,372257.13,0,226100,Deutsche Bank National Trust Comp  (Trustee) ,Deutsche Bank National Trust Comp  (Trustee) ,HIDDEN,5005 COLLINS AVE 222,MIAMI BEACH,33140,02-3214-018-2590,0232140182590
03/22/2021,02/17/2021,FAUCTION30492903004002019004181CA01,2019-004181-CA-01,2019004181CA01,Accepting Proxy,533610.7,0,192531,Bank of America,Bank of America,HIDDEN,16620 SW 70 ST,MIAMI,33193,30-4929-030-0400,3049290300400
03/22/2021,02/16/2021,FAUCTION30491400106802016003889CA01,2016-003889-CA-01,2016003889CA01,Accepting Proxy,1269319.3,0,526001,UPS Capital Business Credit,UPS Capital Business Credit,HIDDEN,13050 SW 26 ST,MIAMI,33175,30-4914-001-0680,3049140010680
03/23/2021,02/16/2021,FAUCTION20501100200602016030114CA01,2016-030114-CA-01,2016030114CA01,Accepting Proxy,77045.42,0,0,"INTERIORS BY STEVE G., INC.","INTERIORS BY STEVE G., INC.",HIDDEN,,,,20-5011-002-0060,2050110020060
03/23/2021,02/17/2021,FAUCTION02322701700802020012207CA01,2020-012207-CA-01,2020012207CA01,Accepting Proxy,1944490.98,0,0,PS Funding Inc,PS Funding Inc,HIDDEN,,,,02-3227-017-0080,0232270170080
03/23/2021,02/17/2021,FAUCTION35301800514402012024874CA01,2012-024874-CA-01,2012024874CA01,Accepting Proxy,696745.73,0,435883,U S BANK NATL ASSN,U S BANK NATL ASSN,HIDDEN,11363 NW 65 ST,DORAL,33178,35-3018-005-1440,3530180051440
03/23/2021,02/17/2021,FAUCTION30693400312302020022347CA01,2020-022347-CA-01,2020022347CA01,Accepting Proxy,109040.1,0,60695,WILMINGTON TRUST NATIONAL ASSOCIATION,WILMINGTON TRUST NATIONAL ASSOCIATION,HIDDEN,26701 SW 137 CT,MIAMI,33032,30-6934-003-1230,3069340031230
03/23/2021,02/17/2021,FAUCTION30420901300102020006626CA01,2020-006626-CA-01,2020006626CA01,Accepting Proxy,5443466.74,0,3616755,Eastern Financial Mortgage Corporation,Eastern Financial Mortgage Corporation,HIDDEN,5311 FISHER ISLAND DR 5311,MIAMI,33109,30-4209-013-0010,3042090130010
03/23/2021,02/18/2021,FAUCTION30490900717602012012014CA01,2012-012014-CA-01,2012012014CA01,Accepting Proxy,568475.63,0,314565,Wilmington Savings Fund Society FSB,Wilmington Savings Fund Society FSB,HIDDEN,2141 SW 149 PSGE,MIAMI,33185,30-4909-007-1760,3049090071760
03/23/2021,02/17/2021,FAUCTION31221104108002017026734CA01,2017-026734-CA-01,2017026734CA01,Accepting Proxy,46842.72,0,141000,"Salem House Condominium Association, Inc.","Salem House Condominium Association, Inc.",HIDDEN,251 172 ST 328,SUNNY ISLES BEACH,33160,31-2211-041-0800,3122110410800
03/24/2021,02/18/2021,FAUCTION03411702606602018041552CA01,2018-041552-CA-01,2018041552CA01,Accepting Proxy,54824.83,0,0,"Gables Plaza Condominium Association, Inc.","Gables Plaza Condominium Association, Inc.",HIDDEN,,,,03-4117-026-0660,0341170260660
03/29/2021,02/18/2021,FAUCTION28123404709402019031524CA01,2019-031524-CA-01,2019031524CA01,Accepting Proxy,252761.51,0,0,"1900 Capital Trust II, BY U.S. BANK TRUST NATIONAL ASSOCIATION","1900 Capital Trust II, BY U.S. BANK TRUST NATIONAL ASSOCIATION",HIDDEN,,,,28-1234-047-0940,2812340470940
03/29/2021,02/18/2021,FAUCTION34113301111302016004438CA01,2016-004438-CA-01,2016004438CA01,Accepting Proxy,237372.53,0,0,Deutsche Bank National Trust Company ,Deutsche Bank National Trust Company ,HIDDEN,,,,34-1133-011-1130,3411330111130
03/29/2021,02/18/2021,FAUCTION34210102702602015014193CA01,2015-014193-CA-01,2015014193CA01,Accepting Proxy,252737.07,0,127322,LPP Mortgage LTD,LPP Mortgage LTD,HIDDEN,322 NW 187 ST,MIAMI GARDENS,33169,34-2101-027-0260,3421010270260
03/29/2021,02/17/2021,FAUCTION30403504714902020004826CA01,2020-004826-CA-01,2020004826CA01,Accepting Proxy,199027.22,0,85033,U.S. BANK N.A (TRUSTEE),U.S. BANK N.A (TRUSTEE),HIDDEN,7424 SW 82 ST D116,MIAMI,33143,30-4035-047-1490,3040350471490
03/29/2021,02/18/2021,FAUCTION01323104807222019007114CA01,2019-007114-CA-01,2019007114CA01,Accepting Proxy,792404.27,0,355814,U.S. Bank National Association,U.S. Bank National Association,HIDDEN,1717 N BAYSHORE DR B-4154,MIAMI,33132,01-3231-048-0722,0132310480722
03/29/2021,02/17/2021,FAUCTION01413908427102019023507CA01,2019-023507-CA-01,2019023507CA01,Accepting Proxy,394579.23,0,243476,Nationstar Mortgage LLC,Nationstar Mortgage LLC,HIDDEN,2101 BRICKELL AVE 1809,MIAMI,33129,01-4139-084-2710,0141390842710
03/29/2021,02/17/2021,FAUCTION30220504802802019001467CA01,2019-001467-CA-01,2019001467CA01,Accepting Proxy,322636.44,0,93762,"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR HAR","U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR HAR",HIDDEN,1750 NE 191 ST 126-4,MIAMI,33179,30-2205-048-0280,3022050480280
03/29/2021,02/17/2021,FAUCTION30790501201902017016535CA01,2017-016535-CA-01,2017016535CA01,Accepting Proxy,337023.86,0,129119,"Wilmington Savings Fund Society, FSB","Wilmington Savings Fund Society, FSB",HIDDEN,16020 SW 284 ST,MIAMI,33033,30-7905-012-0190,3079050120190
04/05/2021,02/18/2021,FAUCTION35300800719502019027089CA01,2019-027089-CA-01,2019027089CA01,Accepting Proxy,1044671.61,0,666342,"HMC ASSETS, LLC (TR)","HMC ASSETS, LLC (TR)",HIDDEN,7443 NW 100 AVE,DORAL,33178,35-3008-007-1950,3530080071950
04/05/2021,02/18/2021,FAUCTION10791002504702017021103CA01,2017-021103-CA-01,2017021103CA01,Accepting Proxy,641363.21,0,249444,HSBC Bank USA Natl Assn,HSBC Bank USA Natl Assn,HIDDEN,3974 NE 15 ST,HOMESTEAD,33033,10-7910-025-0470,1079100250470
04/05/2021,02/18/2021,FAUCTION30591101207402020018089CA01,2020-018089-CA-01,2020018089CA01,Accepting Proxy,59657.34,0,0,"Lindgren Lakes Homeowners Association, Inc.","Lindgren Lakes Homeowners Association, Inc.",HIDDEN,12970 & 13000 SW 116 ST,MIAMI,33186,30-5911-012-0740,3059110120740
04/05/2021,02/18/2021,FAUCTION30591101207502020018089CA01,2020-018089-CA-01,2020018089CA01,Accepting Proxy,59657.34,0,0,"Lindgren Lakes Homeowners Association, Inc.","Lindgren Lakes Homeowners Association, Inc.",HIDDEN,12970 & 13000 SW 116 ST,MIAMI,33186,30-5911-012-0750,3059110120750
04/05/2021,02/18/2021,FAUCTION08212800404312019009336CA01,2019-009336-CA-01,2019009336CA01,Accepting Proxy,161493.71,0,107115,US BANK NATIONAL ASSOCIATION,US BANK NATIONAL ASSOCIATION,HIDDEN,13290 NW 31 AVE,OPA-LOCKA,33054,08-2128-004-0431,0821280040431
04/05/2021,02/19/2021,FAUCTION30402000446202019004011CA01,2019-004011-CA-01,2019004011CA01,Accepting Proxy,,0,0,Deutsche Bank National Trust Company,Deutsche Bank National Trust Company,HIDDEN,,,,30-4020-004-4620,3040200044620
04/05/2021,02/19/2021,FAUCTION01411610202902019025600CA01,2019-025600-CA-01,2019025600CA01,Accepting Proxy,,0,0,"HSBC BANK USA, NATIONAL ASSOCIATION","HSBC BANK USA, NATIONAL ASSOCIATION",HIDDEN,,,,01-4116-102-0290,0141161020290
04/07/2021,02/17/2021,FAUCTION04213001022302017002390CA01,2017-002390-CA-01,2017002390CA01,Accepting Proxy,357136.36,0,111483,Wilmington Savings Fund Society,Wilmington Savings Fund Society,HIDDEN,6999 W 2 CT,HIALEAH,33014,04-2130-010-2230,0421300102230
04/07/2021,02/17/2021,FAUCTION10781302411602020002364CA01,2020-002364-CA-01,2020002364CA01,Accepting Proxy,48183.29,0,39492,U.S. BANK N.A,U.S. BANK N.A,HIDDEN,221 NW 9 AVE,HOMESTEAD,33030,10-7813-024-1160,1078130241160
04/12/2021,02/17/2021,FAUCTION30400300616902017028435CA01,2017-028435-CA-01,2017028435CA01,Accepting Proxy,490118.36,0,800949,"U.S. BANK TRUST, N.A.,","U.S. BANK TRUST, N.A.,",HIDDEN,8615 SW 7 ST,MIAMI,33144,30-4003-006-1690,3040030061690
04/12/2021,02/17/2021,FAUCTION30200103400802019028627CA01,2019-028627-CA-01,2019028627CA01,Accepting Proxy,193014.95,0,102781,MTGLQ INVESTORS L.P.,MTGLQ INVESTORS L.P.,HIDDEN,18905 NW 62 AVE 204,MIAMI,33015,30-2001-034-0080,3020010340080
04/12/2021,02/16/2021,FAUCTION30123105602002017026362CA01,2017-026362-CA-01,2017026362CA01,Accepting Proxy,4803.35,0,51787,"Quatraine Condominium IV Association, Inc.","Quatraine Condominium IV Association, Inc.",HIDDEN,20150 NE 3 CT 7,MIAMI,33179,30-1231-056-0200,3012310560200
04/12/2021,02/18/2021,FAUCTION34210800737602017014041CA01,2017-014041-CA-01,2017014041CA01,Accepting Proxy,450031.68,0,235550,THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK MELLON,HIDDEN,3901 NW 173 TER,MIAMI GARDENS,33055,34-2108-007-3760,3421080073760
04/12/2021,02/18/2021,FAUCTION28220306716502019006226CA01,2019-006226-CA-01,2019006226CA01,Accepting Proxy,567368.87,0,261000,BANK OF NEW YORK MELLON (THE),BANK OF NEW YORK MELLON (THE),HIDDEN,2971 NE 185 ST 1905,AVENTURA,33180,28-2203-067-1650,2822030671650
04/13/2021,02/18/2021,FAUCTION10792000914002017021270CA01,2017-021270-CA-01,2017021270CA01,Accepting Proxy,241620.04,0,72749,"U.S. Bank National Association, ","U.S. Bank National Association, ",HIDDEN,2911 SAN REMO CIR,HOMESTEAD,33035,10-7920-009-1400,1079200091400
04/13/2021,02/16/2021,FAUCTION33503200704702007026181CA01,2007-026181-CA-01,2007026181CA01,Accepting Proxy,318057.56,0,88710,"Mortgage Elect Reg Sys Inc,","Mortgage Elect Reg Sys Inc,",HIDDEN,9731 SW 183 ST,PALMETTO BAY,33157,33-5032-007-0470,3350320070470
04/19/2021,02/16/2021,FAUCTION30492704001402017016957CA01,2017-016957-CA-01,2017016957CA01,Accepting Proxy,123933.47,0,155465,DEUTSCHE BANK NATIONAL TRUST COMPANY ,DEUTSCHE BANK NATIONAL TRUST COMPANY ,HIDDEN,6699 SW 137 CT 10B,MIAMI,33183,30-4927-040-0140,3049270400140
04/19/2021,02/16/2021,FAUCTION33503200707902019008160CA01,2019-008160-CA-01,2019008160CA01,Accepting Proxy,278559.93,0,116764,BANK OF NEW YORK MELLON (THE) ,BANK OF NEW YORK MELLON (THE) ,HIDDEN,18170 SW 98 AVE,PALMETTO BAY,33157,33-5032-007-0790,3350320070790
04/19/2021,02/17/2021,FAUCTION30400901203902020018901CA01,2020-018901-CA-01,2020018901CA01,Accepting Proxy,354892.5,0,339935,Antilla Investment Limited LLC,Antilla Investment Limited LLC,HIDDEN,2155 SW 97 AVE,MIAMI,33165,30-4009-012-0390,3040090120390
04/19/2021,02/17/2021,FAUCTION30200100310902015024173CA01,2015-024173-CA-01,2015024173CA01,Accepting Proxy,458159.05,0,158479,DEUTSCHE BANK NATL TRUST CO (Trustee),DEUTSCHE BANK NATL TRUST CO (Trustee),HIDDEN,6425 NW 201 ST,MIAMI,33015,30-2001-003-1090,3020010031090
04/19/2021,02/17/2021,FAUCTION30493310303502019007336CA01,2019-007336-CA-01,2019007336CA01,Accepting Proxy,303754.38,0,128400,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",HIDDEN,15270 SW 80 ST 7,MIAMI,33193,30-4933-103-0350,3049331030350
04/19/2021,02/18/2021,FAUCTION02321401815802019022711CA01,2019-022711-CA-01,2019022711CA01,Accepting Proxy,457589.74,0,255700,"BAYVIEW LOAN SERVICING, LLC","BAYVIEW LOAN SERVICING, LLC",HIDDEN,5005 COLLINS AVE 112,MIAMI BEACH,33140,02-3214-018-1580,0232140181580
04/19/2021,02/18/2021,FAUCTION04203414702502018021350CA01,2018-021350-CA-01,2018021350CA01,Accepting Proxy,363047.54,0,136656,Citibank NA ,Citibank NA ,HIDDEN,2520 W 64 PL,HIALEAH,33016,04-2034-147-0250,0420341470250
04/27/2021,02/18/2021,FAUCTION36600801900402017011331CA01,2017-011331-CA-01,2017011331CA01,Accepting Proxy,435470.27,0,151722,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,9737 SW 213 TER,CUTLER BAY,33189,36-6008-019-0040,3660080190040
04/27/2021,02/18/2021,FAUCTION01413908211202017025832CA01,2017-025832-CA-01,2017025832CA01,Accepting Proxy,1991266.34,0,862969,"WILMINGTON TRUST, NA, ","WILMINGTON TRUST, NA, ",HIDDEN,1331 BRICKELL BAY DR 2903,MIAMI,33131,01-4139-082-1120,0141390821120
04/27/2021,02/16/2021,FAUCTION33502803001102019022087CA01,2019-022087-CA-01,2019022087CA01,Accepting Proxy,733932.75,0,281324,DEUTSCHE BANK NATIONAL TRUST COMPANY (TR) ,DEUTSCHE BANK NATIONAL TRUST COMPANY (TR) ,HIDDEN,9111 SW 164 ST,PALMETTO BAY,33157,33-5028-030-0110,3350280300110
04/28/2021,02/17/2021,FAUCTION30780100005302017009278CA01,2017-009278-CA-01,2017009278CA01,Accepting Proxy,252741.5,0,161041,DEUTSCHE BANK NATIONAL TRUST COMPANY (TR),DEUTSCHE BANK NATIONAL TRUST COMPANY (TR),HIDDEN,18145 SW 296 ST,MIAMI,33030,30-7801-000-0530,3078010000530
05/03/2021,02/16/2021,FAUCTION35301902506302014031102CA01,2014-031102-CA-01,2014031102CA01,Accepting Proxy,572439.37,0,273717,"Wells Fargo Bank N A,","Wells Fargo Bank N A,",HIDDEN,4445 NW 110 CT,DORAL,33178,35-3019-025-0630,3530190250630
05/03/2021,02/16/2021,FAUCTION36601600108302020004049CA01,2020-004049-CA-01,2020004049CA01,Accepting Proxy,166999.32,0,162475,Bank Of New York Mellon Trust Company NA (TRUSTEE),Bank Of New York Mellon Trust Company NA (TRUSTEE),HIDDEN,9761 SW 220 ST,CUTLER BAY,33190,36-6016-001-0830,3660160010830
05/10/2021,02/16/2021,FAUCTION30492902603802018031919CA01,2018-031919-CA-01,2018031919CA01,Accepting Proxy,380408.79,0,313013,HSBC Bank USA,HSBC Bank USA,HIDDEN,5722 SW 165 CT,MIAMI,33193,30-4929-026-0380,3049290260380
05/17/2021,02/17/2021,FAUCTION30491604001302018039783CA01,2018-039783-CA-01,2018039783CA01,Accepting Proxy,647184.07,0,316643,"Julio Rodriguez, as Co-Trustee","Julio Rodriguez, as Co-Trustee",HIDDEN,14763 SW 35 LN,MIAMI,33185,30-4916-040-0130,3049160400130
05/17/2021,02/17/2021,FAUCTION30490400218802017012082CA01,2017-012082-CA-01,2017012082CA01,Accepting Proxy,322912.19,0,163888,Deutsche Bank National Tr Co,Deutsche Bank National Tr Co,HIDDEN,929 SW 149 CT,MIAMI,33194,30-4904-002-1880,3049040021880
05/17/2021,02/17/2021,FAUCTION30400804016202018032420CA01,2018-032420-CA-01,2018032420CA01,Accepting Proxy,189326.68,0,107900,US BANK NATIONAL ASSOC AS (TRUSTEE),US BANK NATIONAL ASSOC AS (TRUSTEE),HIDDEN,1821 SW 107 AVE 2002,MIAMI,33165,30-4008-040-1620,3040080401620
05/17/2021,02/17/2021,FAUCTION34210500213802018015961CA01,2018-015961-CA-01,2018015961CA01,Accepting Proxy,340529.26,0,196810,HSBC Bank USA,HSBC Bank USA,HIDDEN,3800 NW 195 ST,MIAMI GARDENS,33055,34-2105-002-1380,3421050021380
05/17/2021,02/17/2021,FAUCTION02320301102502019022588CA01,2019-022588-CA-01,2019022588CA01,Accepting Proxy,294340.68,0,209583,U.S. BANK NATIONAL ASSOCIATION (TR),U.S. BANK NATIONAL ASSOCIATION (TR),HIDDEN,660 86 ST,MIAMI BEACH,33141,02-3203-011-0250,0232030110250
05/17/2021,02/17/2021,FAUCTION33503500900502014025443CA01,2014-025443-CA-01,2014025443CA01,Accepting Proxy,649038.13,0,439139,"U S Bank National Association,","U S Bank National Association,",HIDDEN,7500 SW 176 ST,PALMETTO BAY,33157,33-5035-009-0050,3350350090050
05/17/2021,02/17/2021,FAUCTION01311304215002013023239CA01,2013-023239-CA-01,2013023239CA01,Accepting Proxy,183185.14,0,59173,"Us Bank Na,","Us Bank Na,",HIDDEN,5430 NW 5 CT,MIAMI,33127,01-3113-042-1500,0131130421500
05/17/2021,02/17/2021,FAUCTION30201200528202018027282CA01,2018-027282-CA-01,2018027282CA01,Accepting Proxy,138154.94,0,107197,US Bank National Association (Trustee),US Bank National Association (Trustee),HIDDEN,6237 NW 171 ST,MIAMI,33015,30-2012-005-2820,3020120052820
05/18/2021,02/18/2021,FAUCTION01410509709502019007995CA01,2019-007995-CA-01,2019007995CA01,Accepting Proxy,539183.97,0,202756,"MTGLQ INVESTORS, L.P.","MTGLQ INVESTORS, L.P.",HIDDEN,4242 NW 2 ST 1110,MIAMI,33126,01-4105-097-0950,0141050970950
05/18/2021,02/18/2021,FAUCTION30492003305702016021838CA01,2016-021838-CA-01,2016021838CA01,Accepting Proxy,431142.2,0,156294,Deutsche Bank National Trust Company,Deutsche Bank National Trust Company,HIDDEN,4667 SW 164 PL,MIAMI,33185,30-4920-033-0570,3049200330570
05/19/2021,02/18/2021,FAUCTION30591101502902019028748CA01,2019-028748-CA-01,2019028748CA01,Accepting Proxy,300711.48,0,304763,Wells Fargo Bank,Wells Fargo Bank,HIDDEN,10464 SW 130 CT,MIAMI,33186,30-5911-015-0290,3059110150290
