Sale Date,Add Date,Case Number,Formatted Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
02/17/2021,01/11/2021,2020-008603-CA-01,2020008603CA01,FAUCTION02323305514302020008603CA01,Accepting Proxy,18877.29,0,413918,SUNSET HARBOUR NORTH CONDOMINIUM ASSOCIATION INC,SUNSET HARBOUR NORTH CONDOMINIUM ASSOCIATION INC,HIDDEN,1900 SUNSET HARBOUR DR 2109,MIAMI BEACH,33139,02-3233-055-1430,0232330551430
02/17/2021,01/13/2021,2013-034191-CA-01,2013034191CA01,FAUCTION30491400202162013034191CA01,Accepting Proxy,2281137.45,0,955130,"U S Bank Trust N A,","U S Bank Trust N A,",HIDDEN,13531 SW 34 ST,MIAMI,33175,30-4914-002-0216,3049140020216
02/17/2021,01/14/2021,2020-017084-CA-01,2020017084CA01,FAUCTION01323105233202020017084CA01,Accepting Proxy,39665.26,0,119024,"Venetia Condominium Association, Inc.","Venetia Condominium Association, Inc.",HIDDEN,555 NE 15 ST 26-K,MIAMI,33132,01-3231-052-3320,0132310523320
02/17/2021,01/15/2021,2020-011546-CA-01,2020011546CA01,FAUCTION02420316301802020011546CA01,Accepting Proxy,338253,0,249000,City First Mortgage Corp.,City First Mortgage Corp.,HIDDEN,1061 MERIDIAN AVE 2-B,MIAMI BEACH,33139,02-4203-163-0180,0242031630180
02/22/2021,01/15/2021,2018-020669-CC-25,2018020669CC25,FAUCTION32202204926502018020669CC25,Accepting Proxy,14371,0,234934,"VILLA VIZCAYA CONDOMINIUM ASSOCIATION, INC.","VILLA VIZCAYA CONDOMINIUM ASSOCIATION, INC.",HIDDEN,14131 NW 84 CT 4101,MIAMI LAKES,33016,32-2022-049-2650,3220220492650
02/22/2021,01/13/2021,2017-012912-CA-01,2017012912CA01,FAUCTION35302202918402017012912CA01,Accepting Proxy,369703.12,0,0,"WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON SAVINGS FUND SOCIETY, FSB",HIDDEN,,,,35-3022-029-1840,3530220291840
02/22/2021,01/13/2021,2019-030375-CA-01,2019030375CA01,FAUCTION02322601603302019030375CA01,Accepting Proxy,36733.2,0,0,"VENDOME PLACE CONDOMINIUM ASSOCIATION, INC.","VENDOME PLACE CONDOMINIUM ASSOCIATION, INC.",HIDDEN,,,,02-3226-016-0330,0232260160330
02/24/2021,01/12/2021,2020-008330-CA-01,2020008330CA01,FAUCTION01410601409102020008330CA01,Accepting Proxy,73615,0,309839,Lubi Trust,Lubi Trust,HIDDEN,4794 SW 3 ST,MIAMI,33134,01-4106-014-0910,0141060140910
02/24/2021,01/11/2021,2020-019858-CA-01,2020019858CA01,FAUCTION27300303406502020019858CA01,Accepting Proxy,28643.16,0,145442,"Vista del Lago I Condominium Association, Inc.","Vista del Lago I Condominium Association, Inc.",HIDDEN,9915 W OKEECHOBEE RD 2-503,HIALEAH GARDENS,33016,27-3003-034-0650,2730030340650
02/24/2021,01/11/2021,2017-025013-CA-01,2017025013CA01,FAUCTION01413908663702017025013CA01,Accepting Proxy,246901.8,0,337403,Club at Brickell Bay Plaza Condo. Ass'n Inc. (The),Club at Brickell Bay Plaza Condo. Ass'n Inc. (The),HIDDEN,1200 BRICKELL BAY DR 3724,MIAMI,33131,01-4139-086-6370,0141390866370
02/24/2021,01/11/2021,2019-024741-CA-01,2019024741CA01,FAUCTION09402507929402019024741CA01,Accepting Proxy,24170.86,0,157000,"VALENCIA SOUTH MIAMI CONDOMINIUM ASSOCIATION, INC.","VALENCIA SOUTH MIAMI CONDOMINIUM ASSOCIATION, INC.",HIDDEN,6001 SW 70 ST 655,SOUTH MIAMI,33143,09-4025-079-2940,0940250792940
03/01/2021,01/12/2021,2014-019290-CA-01,2014019290CA01,FAUCTION30691202308002014019290CA01,Accepting Proxy,37990.5,0,25180,"Bayview Loan Svcing Llc,","Bayview Loan Svcing Llc,",HIDDEN,20110 SW 123 DR,MIAMI,33177,30-6912-023-0800,3069120230800
03/01/2021,01/12/2021,2019-034783-CA-01,2019034783CA01,FAUCTION01323107604402019034783CA01,Accepting Proxy,559079.39,0,544350,"INTERNATIONAL MORTGAGE CAPITAL FUND II, LLC","INTERNATIONAL MORTGAGE CAPITAL FUND II, LLC",HIDDEN,488 NE 18 ST 5000,MIAMI,33132,01-3231-076-0440,0132310760440
03/01/2021,01/12/2021,2018-009869-CA-01,2018009869CA01,FAUCTION02321104109302018009869CA01,Accepting Proxy,317977.99,0,183000,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",HIDDEN,5750 COLLINS AVE 4H,MIAMI BEACH,33140,02-3211-041-0930,0232110410930
03/01/2021,01/12/2021,2013-008007-CA-01,2013008007CA01,FAUCTION30502002900802013008007CA01,Accepting Proxy,383746.02,0,460555,"Federal Natl Mortgage Assn,","Federal Natl Mortgage Assn,",HIDDEN,14805 SW 97 CT,MIAMI,33176,30-5020-029-0080,3050200290080
03/01/2021,01/12/2021,2020-005899-CA-01,2020005899CA01,FAUCTION30600601402002020005899CA01,Accepting Proxy,65296,0,111475,BRIDGE INVESTMENT INC,BRIDGE INVESTMENT INC,HIDDEN,11500 SW 191 ST,MIAMI,33157,30-6006-014-0200,3060060140200
03/01/2021,01/12/2021,2019-015814-CA-01,2019015814CA01,FAUCTION01420605213902019015814CA01,Accepting Proxy,28873.16,0,274851,"Brickell Key One Condominium Association, Inc.","Brickell Key One Condominium Association, Inc.",HIDDEN,520 BRICKELL KEY DR A610,MIAMI,33131,01-4206-052-1390,0142060521390
03/01/2021,01/12/2021,2020-001546-CA-01,2020001546CA01,FAUCTION01323104800112020001546CA01,Accepting Proxy,34274.49,0,447032,"The Grand Condominium Association, Inc.","The Grand Condominium Association, Inc.",HIDDEN,1717 N BAYSHORE DR A-1131,MIAMI,33132,01-3231-048-0011,0132310480011
03/01/2021,01/13/2021,2017-002884-CA-01,2017002884CA01,FAUCTION01320704007902017002884CA01,Accepting Proxy,605896.8,0,95274,WELLS FARGO BANK NATIONAL ASSOCIATION ,WELLS FARGO BANK NATIONAL ASSOCIATION ,HIDDEN,520 NE 77 ST,MIAMI,33138,01-3207-040-0790,0132070400790
03/01/2021,01/13/2021,2019-030765-CA-01,2019030765CA01,FAUCTION01311403603902019030765CA01,Accepting Proxy,469206.17,0,30365,City of Miami,City of Miami,HIDDEN,1028 NW 63 ST,MIAMI,33150,01-3114-036-0390,0131140360390
03/01/2021,01/14/2021,2018-017243-CA-01,2018017243CA01,FAUCTION30592701703002018017243CA01,Accepting Proxy,309684.04,0,231794,BANK OF NEW YORK MELLON TRUST COMPANY,BANK OF NEW YORK MELLON TRUST COMPANY,HIDDEN,14335 SW 158 ST,MIAMI,33177,30-5927-017-0300,3059270170300
03/01/2021,01/14/2021,2007-026181-CA-01,2007026181CA01,FAUCTION33503200704702007026181CA01,Accepting Proxy,318057.56,0,88710,"Mortgage Elect Reg Sys Inc,","Mortgage Elect Reg Sys Inc,",HIDDEN,9731 SW 183 ST,PALMETTO BAY,33157,33-5032-007-0470,3350320070470
03/01/2021,01/14/2021,2014-009863-CA-01,2014009863CA01,FAUCTION30220700003702014009863CA01,Accepting Proxy,,0,0,"Us Bank Na,","Us Bank Na,",HIDDEN,,,,30-2207-000-0370,3022070000370
03/01/2021,01/14/2021,2012-035095-CA-01,2012035095CA01,FAUCTION34211600313502012035095CA01,Accepting Proxy,264576.64,0,184292,"Bank Of America N A,","Bank Of America N A,",HIDDEN,16045 NW 27 PL,MIAMI GARDENS,33054,34-2116-003-1350,3421160031350
03/01/2021,01/13/2021,2018-007576-CA-01,2018007576CA01,FAUCTION33502801800402018007576CA01,Accepting Proxy,246502.64,0,293962,Rose Acceptance Inc,Rose Acceptance Inc,HIDDEN,8800 SW 160 ST,PALMETTO BAY,33157,33-5028-018-0040,3350280180040
03/01/2021,01/15/2021,2020-005631-CA-01,2020005631CA01,FAUCTION02420312300902020005631CA01,Accepting Proxy,5186.58,0,153450,Joe Taylor Restoration Inc,Joe Taylor Restoration Inc,HIDDEN,1025 ALTON RD 210,MIAMI BEACH,33139,02-4203-123-0090,0242031230090
03/01/2021,01/15/2021,2020-003420-CA-01,2020003420CA01,FAUCTION01413814000012020003420CA01,Accepting Proxy,7994.99,0,0,"The Plaza on Brickell Master Association, Inc.","The Plaza on Brickell Master Association, Inc.",HIDDEN,,,,01-4138-140-0001,0141381400001
03/01/2021,01/15/2021,2016-000605-CA-01,2016000605CA01,FAUCTION30402307110302016000605CA01,Accepting Proxy,368120.4,0,0,MATRIX FINANCIAL SERVICES CORPORATION,MATRIX FINANCIAL SERVICES CORPORATION,HIDDEN,,,,30-4023-071-1030,3040230711030
03/01/2021,01/14/2021,2019-004641-CA-01,2019004641CA01,FAUCTION01020508010302019004641CA01,Accepting Proxy,2649783.38,0,3148066,"EPO II SBC 2018-1 LLC, a Delaware limited liabilty co","EPO II SBC 2018-1 LLC, a Delaware limited liabilty co",HIDDEN,232 SW 8 ST,MIAMI,33130,01-0205-080-1030,0102050801030
03/01/2021,01/14/2021,2018-037968-CA-01,2018037968CA01,FAUCTION30420901400702018037968CA01,Accepting Proxy,3352862.82,0,2703586,UBS BANK USA,UBS BANK USA,HIDDEN,5212 FISHER ISLAND DR 5212,MIAMI,33109,30-4209-014-0070,3042090140070
03/02/2021,01/11/2021,2019-036247-CA-01,2019036247CA01,FAUCTION30211300312402019036247CA01,Accepting Proxy,337237.68,0,69884,US BANK NATIONAL ASSOCIATION,US BANK NATIONAL ASSOCIATION,HIDDEN,510 NW 147 ST,MIAMI,33168,30-2113-003-1240,3021130031240
03/02/2021,01/11/2021,2019-005956-CA-01,2019005956CA01,FAUCTION10792100400402019005956CA01,Accepting Proxy,18438.06,0,93819,Keys Gate Community Association Inc,Keys Gate Community Association Inc,HIDDEN,2507 SE 19 PL 104-A,HOMESTEAD,33035,10-7921-004-0040,1079210040040
03/03/2021,01/13/2021,2017-021270-CA-01,2017021270CA01,FAUCTION10792000914002017021270CA01,Accepting Proxy,241620.04,0,72749,"U.S. Bank National Association, ","U.S. Bank National Association, ",HIDDEN,2911 SAN REMO CIR,HOMESTEAD,33035,10-7920-009-1400,1079200091400
03/08/2021,01/11/2021,2018-012756-CA-01,2018012756CA01,FAUCTION30790400515202018012756CA01,Accepting Proxy,135652.09,0,116411,JP MORGAN MORTGAGE ACQUISITION CORP,JP MORGAN MORTGAGE ACQUISITION CORP,HIDDEN,14960 GRANT LN,MIAMI,33033,30-7904-005-1520,3079040051520
03/08/2021,01/14/2021,2018-034319-CA-01,2018034319CA01,FAUCTION30492100806402018034319CA01,Accepting Proxy,656174.05,0,0,BANK OF NEW YORK MELLON THE,BANK OF NEW YORK MELLON THE,HIDDEN,,,,30-4921-008-0640,3049210080640
03/08/2021,01/14/2021,2020-004049-CA-01,2020004049CA01,FAUCTION36601600108302020004049CA01,Accepting Proxy,166999.32,0,0,Bank Of New York Mellon Trust Company NA (TRUSTEE),Bank Of New York Mellon Trust Company NA (TRUSTEE),HIDDEN,,,,36-6016-001-0830,3660160010830
03/08/2021,01/15/2021,2019-008951-CA-01,2019008951CA01,FAUCTION32201502201602019008951CA01,Accepting Proxy,0,0,0,"Gramercy Park Homeowners' Association, Inc.","Gramercy Park Homeowners' Association, Inc.",HIDDEN,,,,32-2015-022-0160,3220150220160
03/15/2021,01/15/2021,2019-032893-CA-01,2019032893CA01,FAUCTION02321109701902019032893CA01,Accepting Proxy,270698.46,0,291700,"LIQUID ASSETS ACQUISITION, LLC","LIQUID ASSETS ACQUISITION, LLC",HIDDEN,6620 INDIAN CREEK DR 404,MIAMI BEACH,33141,02-3211-097-0190,0232110970190
03/15/2021,01/14/2021,2013-023239-CA-01,2013023239CA01,FAUCTION01311304215002013023239CA01,Accepting Proxy,183185.14,0,59173,"Us Bank Na,","Us Bank Na,",HIDDEN,5430 NW 5 CT,MIAMI,33127,01-3113-042-1500,0131130421500
03/15/2021,01/12/2021,2019-012924-CA-01,2019012924CA01,FAUCTION32202401702102019012924CA01,Accepting Proxy,481063.28,0,248856,DEUTSCHE BANK NATIONAL TRUST COMPANY (Trustee),DEUTSCHE BANK NATIONAL TRUST COMPANY (Trustee),HIDDEN,6260 PENT PL,MIAMI LAKES,33014,32-2024-017-0210,3220240170210
03/15/2021,01/13/2021,2018-014260-CA-01,2018014260CA01,FAUCTION27203301710702018014260CA01,Accepting Proxy,398745.6,0,154741,US BANK,US BANK,HIDDEN,9144 NW 112 TER,HIALEAH GARDENS,33018,27-2033-017-1070,2720330171070
03/16/2021,01/13/2021,2013-036380-CA-01,2013036380CA01,FAUCTION30213501005202013036380CA01,Accepting Proxy,243092.89,0,192398,"Hsbc Bank Usa National Association  (TR),","Hsbc Bank Usa National Association  (TR),",HIDDEN,1124 NW 112 TER,MIAMI,33168,30-2135-010-0520,3021350100520
03/16/2021,01/14/2021,2018-039651-CA-01,2018039651CA01,FAUCTION30683200015302018039651CA01,Accepting Proxy,454398.6,0,212688,MILL CITY MORTGAGE LOAN TRUST 2017-2 WILMINGTON SA,MILL CITY MORTGAGE LOAN TRUST 2017-2 WILMINGTON SA,HIDDEN,22650 SW 274 ST,MIAMI,33031,30-6832-000-1530,3068320001530
03/16/2021,01/14/2021,2018-028507-CA-01,2018028507CA01,FAUCTION30403000102502018028507CA01,Accepting Proxy,196909.76,0,110235,VRMTG ASSET TRUST,VRMTG ASSET TRUST,HIDDEN,11390 SW 56 ST,MIAMI,33165,30-4030-001-0250,3040300010250
03/22/2021,01/13/2021,2020-001032-CA-01,2020001032CA01,FAUCTION07221005101802020001032CA01,Accepting Proxy,65825.1,0,35378,SUNSHORES CONDOMINIUM ASSOCIATION INC.,SUNSHORES CONDOMINIUM ASSOCIATION INC.,HIDDEN,3527 NE 168 ST 309,NORTH MIAMI BEACH,33160,07-2210-051-0180,0722100510180
03/23/2021,01/13/2021,2019-012288-CA-01,2019012288CA01,FAUCTION30401704800502019012288CA01,Accepting Proxy,403492.83,0,296481,BANK OF NEW YORK MELLON TRUST COMPANY NA,BANK OF NEW YORK MELLON TRUST COMPANY NA,HIDDEN,10220 SW 32 ST,MIAMI,33165,30-4017-048-0050,3040170480050
03/24/2021,01/14/2021,2019-011742-CA-01,2019011742CA01,FAUCTION30593600406902019011742CA01,Accepting Proxy,468380.86,0,266440,HSBC Bank USA,HSBC Bank USA,HIDDEN,12440 SW 185 TER,MIAMI,33177,30-5936-004-0690,3059360040690
03/29/2021,01/15/2021,2019-031420-CA-01,2019031420CA01,FAUCTION20501000200302019031420CA01,Accepting Proxy,713993.16,0,430127,FORETHOUGHT LIFE INSURANCE COMPANY,FORETHOUGHT LIFE INSURANCE COMPANY,HIDDEN,7701 SW 120 ST,PINECREST,33156,20-5010-002-0030,2050100020030
03/31/2021,01/14/2021,2018-011292-CA-01,2018011292CA01,FAUCTION36600303431702018011292CA01,Accepting Proxy,925715.79,0,404013,U S Bank National Assn (TR),U S Bank National Assn (TR),HIDDEN,7508 SW 189 ST,CUTLER BAY,33157,36-6003-034-3170,3660030343170
04/05/2021,01/15/2021,2019-028725-CA-01,2019028725CA01,FAUCTION10792000204302019028725CA01,Accepting Proxy,3201.65,0,0,Villages of Homestead Audubon Village Homeowners',Villages of Homestead Audubon Village Homeowners',HIDDEN,,,,10-7920-002-0430,1079200020430
04/12/2021,01/14/2021,2018-040871-CA-01,2018040871CA01,FAUCTION30680200001892018040871CA01,Accepting Proxy,263593.86,0,201000,"Cirera, Leticia B","Cirera, Leticia B",HIDDEN,,MIAMI,33187,30-6802-000-0189,3068020000189
04/12/2021,01/12/2021,2018-022984-CA-01,2018022984CA01,FAUCTION05301305801402018022984CA01,Accepting Proxy,331613.49,0,350482,Impella Services Limited,Impella Services Limited,HIDDEN,1161 REDBIRD AVE,MIAMI SPRINGS,33166,05-3013-058-0140,0530130580140
04/14/2021,01/14/2021,2018-037059-CA-01,2018037059CA01,FAUCTION07220703004702018037059CA01,Accepting Proxy,401667.48,0,123498,The Bank of New York Mellon,The Bank of New York Mellon,HIDDEN,230 NE 175 TER,NORTH MIAMI BEACH,33162,07-2207-030-0470,0722070300470
