Sale Date,Add Date,Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio,My Bid
03/11/2021,01/06/2021,2020A01206,TAXACT1323002002402020A01206,Accepting Proxy,0,99310.38,952065,,,HIDDEN,401 NE 26 TER,MIAMI,33137-4652,01-3230-020-0240,0132300200240,
03/11/2021,01/07/2021,2020A01207,TAXACT1311305201752020A01207,Accepting Proxy,0,11702.71,93089,,,HIDDEN,105 NW 61 ST,MIAMI,33127-1241,01-3113-052-0175,0131130520175,
03/11/2021,01/07/2021,2020A01208,TAXACT1413815733302020A01208,Accepting Proxy,0,1407.17,289360,,,HIDDEN,45 SW 9 ST,MIAMI,33130-3020,01-4138-157-3330,0141381573330,
03/11/2021,01/07/2021,2020A01209,TAXACT1413814918902020A01209,Accepting Proxy,0,27692.79,499653,,,HIDDEN,485 BRICKELL AVE,MIAMI,33131-2717,01-4138-149-1890,0141381491890,
03/11/2021,01/07/2021,2020A01211,TAXACT1010809011602020A01211,Accepting Proxy,0,51358.34,762147,,,HIDDEN,345 NW 3 ST,MIAMI,33128-1648,01-0108-090-1160,0101080901160,
03/11/2021,01/07/2021,2020A01212,TAXACT1323104802162020A01212,Accepting Proxy,0,20191.12,218586,,,HIDDEN,1717 N BAYSHORE DR,MIAMI,33132-1180,01-3231-048-0216,0132310480216,
03/11/2021,01/07/2021,2019A00933,TAXACT27300301048302019A00933,Accepting Proxy,0,9723.8,121683,,,HIDDEN,10090 NW 80 CT,HIALEAH GARDENS,33016-2259,27-3003-010-4830,2730030104830,
03/11/2021,01/08/2021,2020A00192,TAXACT31221106202402020A00192,Accepting Proxy,0,103096.03,1023000,,,HIDDEN,17555 COLLINS AVE,SUNNY ISLES BEACH,33160-2882,31-2211-062-0240,3122110620240,
03/11/2021,01/08/2021,2020A01218,TAXACT2320201003622020A01218,Accepting Proxy,0,113112.34,755212,,,HIDDEN,8230 BYRON AVE,MIAMI BEACH,33141-4336,02-3202-010-0362,0232020100362,
03/11/2021,01/08/2021,2020A00974,TAXACT30601800307512020A00974,Accepting Proxy,0,8191.22,86708,,,HIDDEN,11011 SW 218 TER,MIAMI,33170-3021,30-6018-003-0751,3060180030751,
03/11/2021,01/08/2021,2020A00984,TAXACT34210901510602020A00984,Accepting Proxy,0,57916.38,102847,,,HIDDEN,3325 NW 180 ST,MIAMI GARDENS,33056-3427,34-2109-015-1060,3421090151060,
03/11/2021,01/08/2021,2020A01054,TAXACT1410405304602020A01054,Accepting Proxy,0,7631.74,102007,,,HIDDEN,3001 SW 2 ST,MIAMI,33135-2766,01-4104-053-0460,0141040530460,
03/11/2021,01/08/2021,2020A01068,TAXACT3411900412102020A01068,Accepting Proxy,0,238523.84,427407,,,HIDDEN,818 BENEVENTO AVE,CORAL GABLES,33146-2014,03-4119-004-1210,0341190041210,
03/11/2021,01/08/2021,2020A01133,TAXACT1312302100402020A01133,Accepting Proxy,0,8425.48,63156,,,HIDDEN,1070 NW 37 ST,MIAMI,33127-3017,01-3123-021-0040,0131230210040,
03/11/2021,01/08/2021,2020A01134,TAXACT1312301801002020A01134,Accepting Proxy,0,5444.36,46966,,,HIDDEN,1541 NW 38 ST,MIAMI,33142-4831,01-3123-018-0100,0131230180100,
03/11/2021,01/08/2021,2020A01135,TAXACT4301200907602020A01135,Accepting Proxy,0,4462.21,,,,HIDDEN,VACANT LOT,Hialeah,33010-0000,04-3012-009-0760,0430120090760,
03/11/2021,01/08/2021,2020A01136,TAXACT1313702800602020A01136,Accepting Proxy,0,6507.58,,,,HIDDEN,706 NW 4 AVE,Miami,33136-3809,01-3137-028-0060,0131370280060,
